dataset	method	k	N	type	n_bit_changes	n_runs	n_cylinder_runs
diverse	nj-attotree	31	1000	kmer	6301661201	9310728944	6307102172
diverse	nj-attotree	31	1000	uniqrow	12310434	13761643	12314800
diverse	nj-attotree	31	1000	unitig	103359632	137720145	103394678
diverse	nj-attotree	31	100	kmer	765672653	3774740396	775584754
diverse	nj-attotree	31	100	uniqrow	1999261	3450470	2001380
diverse	nj-attotree	31	100	unitig	16275255	50635768	16283100
diverse	nj-attotree	31	10	kmer	74356743	3083424486	83916452
diverse	nj-attotree	31	10	uniqrow	225435	1676644	245898
diverse	nj-attotree	31	10	unitig	1473688	35834201	1651974
diverse	nj-attotree	31	1	kmer	0	3009067743	0
diverse	nj-attotree	31	1	uniqrow	0	1451209	0
diverse	nj-attotree	31	1	unitig	0	34360513	0
diverse	nj-attotree	31	316	kmer	2334535814	5343603557	2339989070
diverse	nj-attotree	31	316	uniqrow	5280967	6732176	5285606
diverse	nj-attotree	31	316	unitig	44443114	78803627	44458982
diverse	nj-attotree	31	32	kmer	271233241	3280300984	281493884
diverse	nj-attotree	31	32	uniqrow	879638	2330847	901804
diverse	nj-attotree	31	32	unitig	6416568	40777081	6503106
diverse	nj-attotree	31	3	kmer	15313609	3024381352	21029518
diverse	nj-attotree	31	3	uniqrow	128414	1579623	129988
diverse	nj-attotree	31	3	unitig	764608	35125121	816542
diverse	nj-hamming	31	1000	kmer	6256867026	9265934769	6260348500
diverse	nj-hamming	31	1000	uniqrow	11798172	13249381	11798886
diverse	nj-hamming	31	1000	unitig	99590776	133951289	99612606
diverse	nj-hamming	31	100	kmer	765005716	3774073459	775480772
diverse	nj-hamming	31	100	uniqrow	1978651	3429860	1979568
diverse	nj-hamming	31	100	unitig	16230666	50591179	16256990
diverse	nj-hamming	31	10	kmer	74706805	3083774548	83915488
diverse	nj-hamming	31	10	uniqrow	241925	1693134	245562
diverse	nj-hamming	31	10	unitig	1637085	35997598	1651632
diverse	nj-hamming	31	1	kmer	0	3009067743	0
diverse	nj-hamming	31	1	uniqrow	0	1451209	0
diverse	nj-hamming	31	1	unitig	0	34360513	0
diverse	nj-hamming	31	316	kmer	2329851291	5338919034	2336084940
diverse	nj-hamming	31	316	uniqrow	5105874	6557083	5106896
diverse	nj-hamming	31	316	unitig	43772132	78132645	43801452
diverse	nj-hamming	31	32	kmer	276069384	3285137127	281475700
diverse	nj-hamming	31	32	uniqrow	894107	2345316	895666
diverse	nj-hamming	31	32	unitig	6405494	40766007	6496706
diverse	nj-hamming	31	3	kmer	15313609	3024381352	21029518
diverse	nj-hamming	31	3	uniqrow	128414	1579623	129988
diverse	nj-hamming	31	3	unitig	764608	35125121	816542
diverse	optimal	31	1000	kmer	6217327615	9226395358	6241076902
diverse	optimal	31	1000	uniqrow	11411770	12862979	11532454
diverse	optimal	31	1000	unitig	97288965	131649478	98380268
diverse	optimal	31	100	kmer	757613637	3766681380	774969598
diverse	optimal	31	100	uniqrow	1831506	3282715	1952654
diverse	optimal	31	100	unitig	15100734	49461247	16189678
diverse	optimal	31	10	kmer	73202154	3082269897	83915252
diverse	optimal	31	10	uniqrow	161583	1612792	245548
diverse	optimal	31	10	unitig	1124322	35484835	1651410
diverse	optimal	31	1	kmer	0	3009067743	0
diverse	optimal	31	1	uniqrow	0	1451209	0
diverse	optimal	31	1	unitig	0	34360513	0
diverse	optimal	31	316	kmer	2310632137	5319699880	2332756400
diverse	optimal	31	316	uniqrow	4916815	6368024	5037724
diverse	optimal	31	316	unitig	42436262	76796775	43525206
diverse	optimal	31	32	kmer	264800161	3273867904	281468366
diverse	optimal	31	32	uniqrow	771502	2222711	892650
diverse	optimal	31	32	unitig	5511309	39871822	6492962
diverse	optimal	31	3	kmer	12261387	3021329130	21029518
diverse	optimal	31	3	uniqrow	65668	1516877	129988
diverse	optimal	31	3	unitig	431260	34791773	816542
diverse	randomized	31	1000	kmer	8275400058	11284467801	8288745834
diverse	randomized	31	1000	uniqrow	27226331	28677540	27245052
diverse	randomized	31	1000	unitig	193191515	227552028	193298596
diverse	randomized	31	100	kmer	808604562	3817672305	816656888
diverse	randomized	31	100	uniqrow	2798697	4249906	2802858
diverse	randomized	31	100	unitig	20000500	54361013	20029852
diverse	randomized	31	10	kmer	75152301	3084220044	83920432
diverse	randomized	31	10	uniqrow	182924	1634133	247244
diverse	randomized	31	10	unitig	1268160	35628673	1653442
diverse	randomized	31	1	kmer	0	3009067743	0
diverse	randomized	31	1	uniqrow	0	1451209	0
diverse	randomized	31	1	unitig	0	34360513	0
diverse	randomized	31	316	kmer	2566683052	5575750795	2572784892
diverse	randomized	31	316	uniqrow	8845823	10297032	8848546
diverse	randomized	31	316	unitig	60713927	95074440	60764572
diverse	randomized	31	32	kmer	277242451	3286310194	286380552
diverse	randomized	31	32	uniqrow	997255	2448464	1011624
diverse	randomized	31	32	unitig	6750710	41111223	6794892
diverse	randomized	31	3	kmer	12261387	3021329130	21029518
diverse	randomized	31	3	uniqrow	65668	1516877	129988
diverse	randomized	31	3	unitig	431260	34791773	816542
diverse	upgma-attotree	31	1000	kmer	6250526235	9259593978	6261372102
diverse	upgma-attotree	31	1000	uniqrow	11812058	13263267	11814826
diverse	upgma-attotree	31	1000	unitig	99586617	133947130	99645300
diverse	upgma-attotree	31	100	kmer	768743188	3777810931	775509214
diverse	upgma-attotree	31	100	uniqrow	1983795	3435004	1986658
diverse	upgma-attotree	31	100	unitig	16207028	50567541	16265794
diverse	upgma-attotree	31	10	kmer	74078490	3083146233	83916128
diverse	upgma-attotree	31	10	uniqrow	224341	1675550	245776
diverse	upgma-attotree	31	10	unitig	1549714	35910227	1651868
diverse	upgma-attotree	31	1	kmer	0	3009067743	0
diverse	upgma-attotree	31	1	uniqrow	0	1451209	0
diverse	upgma-attotree	31	1	unitig	0	34360513	0
diverse	upgma-attotree	31	316	kmer	2326850577	5335918320	2336195076
diverse	upgma-attotree	31	316	uniqrow	5120976	6572185	5123808
diverse	upgma-attotree	31	316	unitig	43773634	78134147	43829720
diverse	upgma-attotree	31	32	kmer	274053258	3283121001	281499274
diverse	upgma-attotree	31	32	uniqrow	895678	2346887	898914
diverse	upgma-attotree	31	32	unitig	6418472	40778985	6500236
diverse	upgma-attotree	31	3	kmer	14484040	3023551783	21029518
diverse	upgma-attotree	31	3	uniqrow	65894	1517103	129988
diverse	upgma-attotree	31	3	unitig	437216	34797729	816542
diverse	upgma-hamming	31	1000	kmer	6359465676	9368533419	6375173700
diverse	upgma-hamming	31	1000	uniqrow	13235828	14687037	13286550
diverse	upgma-hamming	31	1000	unitig	112247098	146607611	112821924
diverse	upgma-hamming	31	100	kmer	769797913	3778865656	782127646
diverse	upgma-hamming	31	100	uniqrow	2149763	3600972	2215470
diverse	upgma-hamming	31	100	unitig	16964418	51324931	17609662
diverse	upgma-hamming	31	10	kmer	73205154	3082272897	83918252
diverse	upgma-hamming	31	10	uniqrow	162797	1614006	246762
diverse	upgma-hamming	31	10	unitig	1223846	35584359	1653404
diverse	upgma-hamming	31	1	kmer	0	3009067743	0
diverse	upgma-hamming	31	1	uniqrow	0	1451209	0
diverse	upgma-hamming	31	1	unitig	0	34360513	0
diverse	upgma-hamming	31	316	kmer	2352905422	5361973165	2368613446
diverse	upgma-hamming	31	316	uniqrow	5805291	7256500	5870998
diverse	upgma-hamming	31	316	unitig	48500496	82861009	49128912
diverse	upgma-hamming	31	32	kmer	269883344	3278951087	281936236
diverse	upgma-hamming	31	32	uniqrow	851040	2302249	916862
diverse	upgma-hamming	31	32	unitig	5970775	40331288	6518750
diverse	upgma-hamming	31	3	kmer	14484040	3023551783	21029518
diverse	upgma-hamming	31	3	uniqrow	65894	1517103	129988
diverse	upgma-hamming	31	3	unitig	437216	34797729	816542
diverse	worst	31	1000	kmer	8297417843	11306485586	8298013096
diverse	worst	31	1000	uniqrow	27764411	29215620	27764648
diverse	worst	31	1000	unitig	194555372	228915885	194556546
diverse	worst	31	100	kmer	816093561	3825161304	818483576
diverse	worst	31	100	uniqrow	2894932	4346141	2895638
diverse	worst	31	100	unitig	20277514	54638027	20280748
diverse	worst	31	10	kmer	78592928	3087660671	83921336
diverse	worst	31	10	uniqrow	246268	1697477	247776
diverse	worst	31	10	unitig	1639449	35999962	1653996
diverse	worst	31	1	kmer	0	3009067743	0
diverse	worst	31	1	uniqrow	0	1451209	0
diverse	worst	31	1	unitig	0	34360513	0
diverse	worst	31	316	kmer	2572623321	5581691064	2574329952
diverse	worst	31	316	uniqrow	9034003	10485212	9034456
diverse	worst	31	316	unitig	61077633	95438146	61080044
diverse	worst	31	32	kmer	282765355	3291833098	286409438
diverse	worst	31	32	uniqrow	1015353	2466562	1016162
diverse	worst	31	32	unitig	6793523	41154036	6799934
diverse	worst	31	3	kmer	15313609	3024381352	21029518
diverse	worst	31	3	uniqrow	128414	1579623	129988
diverse	worst	31	3	unitig	764608	35125121	816542
ngono-spneumo	nj-attotree	31	1000	kmer	123501239	136574130	123506980
ngono-spneumo	nj-attotree	31	1000	uniqrow	7952643	8293454	7953200
ngono-spneumo	nj-attotree	31	1000	unitig	9546324	10152095	9546990
ngono-spneumo	nj-attotree	31	100	kmer	41029934	54102825	42090858
ngono-spneumo	nj-attotree	31	100	uniqrow	2356444	2697255	2424206
ngono-spneumo	nj-attotree	31	100	unitig	2896581	3502352	2975848
ngono-spneumo	nj-attotree	31	10	kmer	13225623	26298514	14350536
ngono-spneumo	nj-attotree	31	10	uniqrow	597941	938752	669900
ngono-spneumo	nj-attotree	31	10	unitig	827139	1432910	912022
ngono-spneumo	nj-attotree	31	1	kmer	0	13072891	0
ngono-spneumo	nj-attotree	31	1	uniqrow	0	340811	0
ngono-spneumo	nj-attotree	31	1	unitig	0	605771	0
ngono-spneumo	nj-attotree	31	316	kmer	76079622	89152513	76101222
ngono-spneumo	nj-attotree	31	316	uniqrow	4637388	4978199	4639404
ngono-spneumo	nj-attotree	31	316	unitig	5594081	6199852	5596458
ngono-spneumo	nj-attotree	31	32	kmer	23005568	36078459	24059956
ngono-spneumo	nj-attotree	31	32	uniqrow	1225666	1566477	1294130
ngono-spneumo	nj-attotree	31	32	unitig	1561438	2167209	1641486
ngono-spneumo	nj-attotree	31	3	kmer	5776637	18849528	9852478
ngono-spneumo	nj-attotree	31	3	uniqrow	220365	561176	382452
ngono-spneumo	nj-attotree	31	3	unitig	330879	936650	574392
ngono-spneumo	nj-hamming	31	1000	kmer	119471125	132544016	119488108
ngono-spneumo	nj-hamming	31	1000	uniqrow	7641858	7982669	7643482
ngono-spneumo	nj-hamming	31	1000	unitig	9201631	9807402	9203552
