genome	count	k	order	type	tree_k	dataset	runs_type	n_runs	baseline	rel
diverse	1000	10	nj	kmer	single	diverse kmer k10 n1000	matrix	76356629	140173679	0.5447287218594012
diverse	1000	10	nj	kmer	single	diverse kmer k10 n1000	indiv_rows	76881429	140698479	0.5464268664908595
diverse	1000	10	nj	kmer	single	diverse kmer k10 n1000	cylinder	76496436	140327876	0.545126443729541
diverse	1000	10	nj	unique	single	diverse unique k10 n1000	matrix	76355943	141012143	0.5414848776534089
diverse	1000	10	nj	unique	single	diverse unique k10 n1000	indiv_rows	76880349	141536549	0.5431837185743451
diverse	1000	10	nj	unique	single	diverse unique k10 n1000	cylinder	76495750	141129310	0.5420259618643356
diverse	1000	10	nj	unitig	single	diverse unitig k10 n1000	matrix	76356629	138467964	0.5514389523341298
diverse	1000	10	nj	unitig	single	diverse unitig k10 n1000	indiv_rows	76881429	138992764	0.5531326004855908
diverse	1000	10	nj	unitig	single	diverse unitig k10 n1000	cylinder	76496436	138561718	0.5520748234371632
diverse	1000	12	nj	kmer	single	diverse kmer k12 n1000	matrix	1691930605	2903753132	0.5826702643398131
diverse	1000	12	nj	kmer	single	diverse kmer k12 n1000	indiv_rows	1700321261	2912143788	0.5838727016181249
diverse	1000	12	nj	kmer	single	diverse kmer k12 n1000	cylinder	1693935544	2906413134	0.5828268267108649
diverse	1000	12	nj	unique	single	diverse unique k12 n1000	matrix	1691930473	2891275731	0.5851847524811531
diverse	1000	12	nj	unique	single	diverse unique k12 n1000	indiv_rows	1700321113	2899666371	0.5863850855412772
diverse	1000	12	nj	unique	single	diverse unique k12 n1000	cylinder	1693935412	2895233578	0.5850772887105553
diverse	1000	12	nj	unitig	single	diverse unitig k12 n1000	matrix	1691930605	2892617243	0.584913406394985
diverse	1000	12	nj	unitig	single	diverse unitig k12 n1000	indiv_rows	1700321261	2901007899	0.586113971487673
diverse	1000	12	nj	unitig	single	diverse unitig k12 n1000	cylinder	1693935544	2895345952	0.5850546263149973
diverse	1000	13	nj	kmer	single	diverse kmer k13 n1000	matrix	3220673816	5149751384	0.625403747840422
diverse	1000	13	nj	kmer	single	diverse kmer k13 n1000	indiv_rows	3254225837	5183303405	0.627828545375302
diverse	1000	13	nj	kmer	single	diverse kmer k13 n1000	cylinder	3224219636	5155188708	0.6254319324909571
diverse	1000	13	nj	unique	single	diverse unique k13 n1000	matrix	3220647189	5162528174	0.6238507724219541
diverse	1000	13	nj	unique	single	diverse unique k13 n1000	indiv_rows	3254188262	5196069247	0.6262788479731745
diverse	1000	13	nj	unique	single	diverse unique k13 n1000	cylinder	3224192986	5167487704	0.6239382018276013
diverse	1000	13	nj	unitig	single	diverse unitig k13 n1000	matrix	3220673812	5151733514	0.6251631229076031
diverse	1000	13	nj	unitig	single	diverse unitig k13 n1000	indiv_rows	3254225831	5185285533	0.6275885503873563
