experiment	run	real_s	real_s_py	user_s	sys_s	percent_cpu	max_ram_kb	fs_inputs	fs_outputs	exit_code	command	max_ram_kb_alt
fulgor_index_gisp_k31	None	18.99	19.003122	150.15	3.75	None	1882341	None	None	0	fulgor build -l 01_datasets/gisp.txt -o 04_indices/gisp_k31 -k 31 -m 20 -d 04_indices/gisp_k31_tmp -g 12 -t 8 --verbose --check	1311
fulgor_dump_gisp_k31	None	2.91	2.921799	2.56	0.24	None	16122	None	None	0	fulgor dump -i 04_indices/gisp_k31.fur	1327
build_dists_gisp_k31	None	16.94	16.951129	112.74	0.64	None	443810	None	None	0	./_build_dists 05_dumps gisp 31 07_ham_dists 10	1295
tsp_export_gisp_k31_N1102_kmer	None	14.76	14.770365	14.89	0.21	None	312115	None	None	0	./_export_tsp_instance.py 07_ham_dists/gisp_k31_kmer.dists.txt.xz 03_selection/gisp.N1102.txt -o 08_tsp/gisp_optimal_k31_N1102_kmer/instance.tsp -w 08_tsp/gisp_worst_k31_N1102_kmer/instance.tsp	1327
tsp_export_gisp_k31_N1102_uniqrow	None	16.92	16.937041	15.66	0.30	None	305332	None	None	0	./_export_tsp_instance.py 07_ham_dists/gisp_k31_uniqrow.dists.txt.xz 03_selection/gisp.N1102.txt -o 08_tsp/gisp_optimal_k31_N1102_uniqrow/instance.tsp -w 08_tsp/gisp_worst_k31_N1102_uniqrow/instance.tsp	1311
tsp_export_gisp_k31_N1102_unitig	None	16.74	16.754163	15.55	0.29	None	308019	None	None	0	./_export_tsp_instance.py 07_ham_dists/gisp_k31_unitig.dists.txt.xz 03_selection/gisp.N1102.txt -o 08_tsp/gisp_optimal_k31_N1102_unitig/instance.tsp -w 08_tsp/gisp_worst_k31_N1102_unitig/instance.tsp	1327
concorde_optimal_N1102_kmer	None	7.92	7.929597	7.58	0.30	None	48447	None	None	0	'/Users/karel/git/ism-supplement/bin/concorde' -o instance.sol instance.tsp 2>&1 | tee log.txt	1295
concorde_optimal_N1102_uniqrow	None	7.47	7.484375	7.18	0.27	None	34865	None	None	0	'/Users/karel/git/ism-supplement/bin/concorde' -o instance.sol instance.tsp 2>&1 | tee log.txt	1295
concorde_optimal_N1102_unitig	None	26.01	26.019362	25.09	0.85	None	38355	None	None	0	'/Users/karel/git/ism-supplement/bin/concorde' -o instance.sol instance.tsp 2>&1 | tee log.txt	1295
concorde_worst_N1102_kmer	None	290.68	290.693567	289.82	0.45	None	67568	None	None	0	'/Users/karel/git/ism-supplement/bin/concorde' -o instance.sol instance.tsp 2>&1 | tee log.txt	1295
concorde_worst_N1102_uniqrow	None	119.47	119.483677	119.13	0.13	None	34996	None	None	0	'/Users/karel/git/ism-supplement/bin/concorde' -o instance.sol instance.tsp 2>&1 | tee log.txt	1295
concorde_worst_N1102_unitig	None	214.80	214.813047	214.18	0.35	None	38158	None	None	0	'/Users/karel/git/ism-supplement/bin/concorde' -o instance.sol instance.tsp 2>&1 | tee log.txt	1295
attotree_gisp_nj_N1102	None	12.94	12.950632	95.16	1.14	None	137216	None	None	0	attotree -t 8 -m nj -L 03_selection/gisp.N1102.txt -V > 09_trees/gisp_nj_N1102.nw	1311
attotree_gisp_upgma_N1102	None	12.70	12.712527	93.97	1.08	None	183124	None	None	0	attotree -t 8 -m upgma -L 03_selection/gisp.N1102.txt -V > 09_trees/gisp_upgma_N1102.nw	1311
tree_order_gisp_nj_k31_N1102_kmer	None	0.56	0.576068	0.01	0.00	None	13009	None	None	0	./_tree_leaf_order.py 09_trees/gisp_nj_N1102.nw > 10_orders/gisp_nj_k31_N1102_kmer.txt	1278
tree_order_gisp_nj_k31_N1102_uniqrow	None	0.03	0.040625	0.01	0.00	None	12812	None	None	0	./_tree_leaf_order.py 09_trees/gisp_nj_N1102.nw > 10_orders/gisp_nj_k31_N1102_uniqrow.txt	1295
tree_order_gisp_nj_k31_N1102_unitig	None	0.57	0.585566	0.02	0.01	None	12681	None	None	0	./_tree_leaf_order.py 09_trees/gisp_nj_N1102.nw > 10_orders/gisp_nj_k31_N1102_unitig.txt	1295
tsp_order_gisp_optimal_k31_N1102_kmer	None	0.07	0.081172	0.05	0.01	None	20922	None	None	0	./_extract_path_from_tsp_solution.py 08_tsp/gisp_optimal_k31_N1102_kmer/instance.tsp 08_tsp/gisp_optimal_k31_N1102_kmer/instance.sol > 10_orders/gisp_optimal_k31_N1102_kmer.txt	1327
tsp_order_gisp_optimal_k31_N1102_uniqrow	None	0.36	0.375761	0.05	0.01	None	20070	None	None	0	./_extract_path_from_tsp_solution.py 08_tsp/gisp_optimal_k31_N1102_uniqrow/instance.tsp 08_tsp/gisp_optimal_k31_N1102_uniqrow/instance.sol > 10_orders/gisp_optimal_k31_N1102_uniqrow.txt	1311
tsp_order_gisp_optimal_k31_N1102_unitig	None	0.07	0.085776	0.05	0.01	None	20464	None	None	0	./_extract_path_from_tsp_solution.py 08_tsp/gisp_optimal_k31_N1102_unitig/instance.tsp 08_tsp/gisp_optimal_k31_N1102_unitig/instance.sol > 10_orders/gisp_optimal_k31_N1102_unitig.txt	1311
tree_order_gisp_upgma_k31_N1102_kmer	None	0.03	0.038488	0.01	0.00	None	12337	None	None	0	./_tree_leaf_order.py 09_trees/gisp_upgma_N1102.nw > 10_orders/gisp_upgma_k31_N1102_kmer.txt	1295
tree_order_gisp_upgma_k31_N1102_uniqrow	None	0.03	0.038721	0.01	0.00	None	12091	None	None	0	./_tree_leaf_order.py 09_trees/gisp_upgma_N1102.nw > 10_orders/gisp_upgma_k31_N1102_uniqrow.txt	1295
tree_order_gisp_upgma_k31_N1102_unitig	None	0.03	0.038539	0.01	0.00	None	12222	None	None	0	./_tree_leaf_order.py 09_trees/gisp_upgma_N1102.nw > 10_orders/gisp_upgma_k31_N1102_unitig.txt	1295
tsp_order_gisp_worst_k31_N1102_kmer	None	0.09	0.101886	0.05	0.01	None	20365	None	None	0	./_extract_path_from_tsp_solution.py 08_tsp/gisp_worst_k31_N1102_kmer/instance.tsp 08_tsp/gisp_worst_k31_N1102_kmer/instance.sol > 10_orders/gisp_worst_k31_N1102_kmer.txt	1311
tsp_order_gisp_worst_k31_N1102_uniqrow	None	0.09	0.097545	0.05	0.01	None	19808	None	None	0	./_extract_path_from_tsp_solution.py 08_tsp/gisp_worst_k31_N1102_uniqrow/instance.tsp 08_tsp/gisp_worst_k31_N1102_uniqrow/instance.sol > 10_orders/gisp_worst_k31_N1102_uniqrow.txt	1311
