experiment	run	real_s	user_s	sys_s	cpu_s	cpu_pct	max_ram_kb	status	exit_code	command
fulgor_index_gisp_k31	1	20.12	149.80	4.15	153.95000000000002	765.1590457256461%	1889370	ok	0	fulgor build                 -l 01_datasets/gisp.txt                 -o 04_indices/gisp_k31                 -k 31                 -m 20                 -d 04_indices/gisp_k31_tmp                 -g 12                 -t 8                 --verbose --check
fulgor_dump_gisp_k31	1	3.10	2.63	0.26	2.8899999999999997	93.22580645161288%	16007	ok	0	fulgor dump -i 04_indices/gisp_k31.fur
build_dists_gisp_k31	1	7.69	54.02	1.18	55.2	717.8153446033809%	1788658	ok	0	./_build_dists 05_dumps gisp 31 07_ham_dists 10
tsp_export_gisp_k31_N1102_kmer	1	19.27	16.61	0.39	17.0	88.22003113648158%	275546	ok	0	./_export_tsp_instance.py 07_ham_dists/gisp_k31_kmer.dists.txt.xz 03_selection/gisp.N1102.txt -o 08_tsp/gisp_optimal_k31_N1102_kmer/instance.tsp -w 08_tsp/gisp_worst_k31_N1102_kmer/instance.tsp
tsp_export_gisp_k31_N1102_uniqrow	1	19.68	16.35	0.41	16.76	85.16260162601627%	250544	ok	0	./_export_tsp_instance.py 07_ham_dists/gisp_k31_uniqrow.dists.txt.xz 03_selection/gisp.N1102.txt -o 08_tsp/gisp_optimal_k31_N1102_uniqrow/instance.tsp -w 08_tsp/gisp_worst_k31_N1102_uniqrow/instance.tsp
tsp_export_gisp_k31_N1102_unitig	1	16.80	15.65	0.32	15.97	95.05952380952381%	314409	ok	0	./_export_tsp_instance.py 07_ham_dists/gisp_k31_unitig.dists.txt.xz 03_selection/gisp.N1102.txt -o 08_tsp/gisp_optimal_k31_N1102_unitig/instance.tsp -w 08_tsp/gisp_worst_k31_N1102_unitig/instance.tsp
concorde_optimal_N1102_kmer	1	8.30	7.93	0.32	8.25	99.39759036144578%	40632	ok	0	'/Users/karel/git/ism-supplement/bin/concorde'                     -o instance.sol                     instance.tsp 2>&1 | tee log.txt
concorde_optimal_N1102_uniqrow	1	10.29	9.86	0.31	10.17	98.83381924198251%	43188	ok	0	'/Users/karel/git/ism-supplement/bin/concorde'                     -o instance.sol                     instance.tsp 2>&1 | tee log.txt
concorde_optimal_N1102_unitig	1	21.38	20.36	0.79	21.15	98.92422825070159%	40714	ok	0	'/Users/karel/git/ism-supplement/bin/concorde'                     -o instance.sol                     instance.tsp 2>&1 | tee log.txt
concorde_worst_N1102_kmer	1	263.19	261.87	0.51	262.38	99.69223754701926%	42484	ok	0	'/Users/karel/git/ism-supplement/bin/concorde'                     -o instance.sol                     instance.tsp 2>&1 | tee log.txt
concorde_worst_N1102_uniqrow	1	105.83	104.70	0.20	104.9	99.12123216479259%	33440	ok	0	'/Users/karel/git/ism-supplement/bin/concorde'                     -o instance.sol                     instance.tsp 2>&1 | tee log.txt
concorde_worst_N1102_unitig	1	243.36	242.14	0.55	242.69	99.72468770545693%	38126	ok	0	'/Users/karel/git/ism-supplement/bin/concorde'                     -o instance.sol                     instance.tsp 2>&1 | tee log.txt
attotree_gisp_nj_N1102	1	13.31	95.72	1.30	97.02	728.9256198347107%	136298	ok	0	attotree                 -t 8                 -m nj                 -L 03_selection/gisp.N1102.txt                 -V > 09_trees/gisp_nj_N1102.nw
attotree_gisp_upgma_N1102	1	16.43	101.63	1.76	103.39	629.2757151552039%	147554	ok	0	attotree                 -t 8                 -m upgma                 -L 03_selection/gisp.N1102.txt                 -V > 09_trees/gisp_upgma_N1102.nw
tree_order_gisp_nj_k31_N1102_kmer	1	0.04	0.02	0.01	0.03	75.0%	13124	ok	0	./_tree_leaf_order.py 09_trees/gisp_nj_N1102.nw > 10_orders/gisp_nj_k31_N1102_kmer.txt
tree_order_gisp_nj_k31_N1102_uniqrow	1	0.03	0.01	0.00	0.01	33.333333333333336%	12386	ok	0	./_tree_leaf_order.py 09_trees/gisp_nj_N1102.nw > 10_orders/gisp_nj_k31_N1102_uniqrow.txt
tree_order_gisp_nj_k31_N1102_unitig	1	0.03	0.01	0.00	0.01	33.333333333333336%	12747	ok	0	./_tree_leaf_order.py 09_trees/gisp_nj_N1102.nw > 10_orders/gisp_nj_k31_N1102_unitig.txt
tsp_order_gisp_optimal_k31_N1102_kmer	1	0.07	0.05	0.01	0.060000000000000005	85.71428571428572%	20595	ok	0	./_extract_path_from_tsp_solution.py                 08_tsp/gisp_optimal_k31_N1102_kmer/instance.tsp                 08_tsp/gisp_optimal_k31_N1102_kmer/instance.sol                 > 10_orders/gisp_optimal_k31_N1102_kmer.txt
tsp_order_gisp_optimal_k31_N1102_uniqrow	1	0.10	0.05	0.02	0.07	70.0%	21250	ok	0	./_extract_path_from_tsp_solution.py                 08_tsp/gisp_optimal_k31_N1102_uniqrow/instance.tsp                 08_tsp/gisp_optimal_k31_N1102_uniqrow/instance.sol                 > 10_orders/gisp_optimal_k31_N1102_uniqrow.txt
tsp_order_gisp_optimal_k31_N1102_unitig	1	0.08	0.05	0.01	0.060000000000000005	75.00000000000001%	20562	ok	0	./_extract_path_from_tsp_solution.py                 08_tsp/gisp_optimal_k31_N1102_unitig/instance.tsp                 08_tsp/gisp_optimal_k31_N1102_unitig/instance.sol                 > 10_orders/gisp_optimal_k31_N1102_unitig.txt
tree_order_gisp_upgma_k31_N1102_kmer	1	0.03	0.01	0.01	0.02	66.66666666666667%	12222	ok	0	./_tree_leaf_order.py 09_trees/gisp_upgma_N1102.nw > 10_orders/gisp_upgma_k31_N1102_kmer.txt
tree_order_gisp_upgma_k31_N1102_uniqrow	1	0.03	0.01	0.01	0.02	66.66666666666667%	12796	ok	0	./_tree_leaf_order.py 09_trees/gisp_upgma_N1102.nw > 10_orders/gisp_upgma_k31_N1102_uniqrow.txt
tree_order_gisp_upgma_k31_N1102_unitig	1	0.04	0.02	0.01	0.03	75.0%	12763	ok	0	./_tree_leaf_order.py 09_trees/gisp_upgma_N1102.nw > 10_orders/gisp_upgma_k31_N1102_unitig.txt
tsp_order_gisp_worst_k31_N1102_kmer	1	0.07	0.05	0.01	0.060000000000000005	85.71428571428572%	20038	ok	0	./_extract_path_from_tsp_solution.py                 08_tsp/gisp_worst_k31_N1102_kmer/instance.tsp                 08_tsp/gisp_worst_k31_N1102_kmer/instance.sol                 > 10_orders/gisp_worst_k31_N1102_kmer.txt
