dataset	method	k	N	type	n_bit_changes	n_runs	n_cylinder_runs
diverse	nj-attotree	16	1000	kmer	5631358046	6747739022	5636672936
diverse	nj-attotree	16	1000	uniqrow	3085870101	3337285591	3088425720
diverse	nj-attotree	16	1000	unitig	5411576125	6430588105	5416649234
diverse	nj-hamming	16	1000	kmer	5567246823	6683627799	5570835386
diverse	nj-hamming	16	1000	uniqrow	3037076081	3288491571	3038648506
diverse	nj-hamming	16	1000	unitig	5345315767	6364327747	5352292312
diverse	optimal	16	1000	kmer	5521167152	6637548128	5541406964
diverse	optimal	16	1000	uniqrow	3005658439	3257073929	3018228904
diverse	optimal	16	1000	unitig	5303882819	6322894799	5323569960
diverse	randomized	16	1000	kmer	7964789808	9081170784	7977621494
diverse	randomized	16	1000	uniqrow	4578268153	4829683643	4585582752
diverse	randomized	16	1000	unitig	7671173182	8690185162	7683550486
diverse	upgma-attotree	16	1000	kmer	5563309515	6679690491	5573974294
diverse	upgma-attotree	16	1000	uniqrow	3038294372	3289709862	3042192206
diverse	upgma-attotree	16	1000	unitig	5345305821	6364317801	5355298652
diverse	upgma-hamming	16	1000	kmer	5766310341	6882691317	5780909928
diverse	upgma-hamming	16	1000	uniqrow	3171136137	3422551627	3180567954
diverse	upgma-hamming	16	1000	unitig	5545622144	6564634124	5559682014
diverse	worst	16	1000	kmer	8057204561	9173585537	8057797616
diverse	worst	16	1000	uniqrow	4659097107	4910512597	4659459580
diverse	worst	16	1000	unitig	7762591893	8781603873	7763162070
