dataset	method	k	N	type	n_bit_changes	n_runs	n_cylinder_runs
diverse	nj-attotree	10	1000	kmer	76356629	76881429	76496436
diverse	nj-attotree	10	1000	uniqrow	76355943	76880349	76495750
diverse	nj-attotree	10	1000	unitig	76356629	76881429	76496436
diverse	nj-attotree	11	1000	kmer	513389069	515486221	514100540
diverse	nj-attotree	11	1000	uniqrow	513388927	515486054	514100398
diverse	nj-attotree	11	1000	unitig	513389069	515486221	514100540
diverse	nj-attotree	12	1000	kmer	1691930605	1700321261	1693935544
diverse	nj-attotree	12	1000	uniqrow	1691930473	1700321113	1693935412
diverse	nj-attotree	12	1000	unitig	1691930605	1700321261	1693935544
diverse	nj-attotree	13	1000	kmer	3220673816	3254225837	3224219636
diverse	nj-attotree	13	1000	uniqrow	3220647189	3254188262	3224192986
diverse	nj-attotree	13	1000	unitig	3220673812	3254225831	3224219632
diverse	nj-attotree	14	1000	kmer	4448164382	4581082751	4452780082
diverse	nj-attotree	14	1000	uniqrow	4424264762	4549905258	4428854420
diverse	nj-attotree	14	1000	unitig	4448133903	4581040046	4452749568
diverse	nj-attotree	15	1000	kmer	5218146637	5681826096	5223270014
diverse	nj-attotree	15	1000	uniqrow	4584183690	4857983603	4588596258
diverse	nj-attotree	15	1000	unitig	5210025082	5670248721	5215139866
diverse	nj-attotree	17	1000	kmer	5842199529	7653866973	5847580494
diverse	nj-attotree	17	1000	uniqrow	1556505762	1701958069	1557496642
diverse	nj-attotree	17	1000	unitig	4577595997	5812060972	4581618348
diverse	nj-attotree	19	1000	kmer	6012049428	8594577293	6017463004
diverse	nj-attotree	19	1000	uniqrow	285358383	316763930	285466912
diverse	nj-attotree	19	1000	unitig	1725940913	2305221757	1727068110
diverse	nj-attotree	20	1000	kmer	6054089772	8783144326	6059508242
diverse	nj-attotree	20	1000	uniqrow	134708952	149966883	134757968
diverse	nj-attotree	20	1000	unitig	944385487	1268854712	944905344
diverse	nj-attotree	22	1000	kmer	6116349449	8965720739	6121773922
diverse	nj-attotree	22	1000	uniqrow	49986365	55564514	50005128
diverse	nj-attotree	22	1000	unitig	326202705	434446920	326351940
diverse	nj-attotree	23	1000	kmer	6142401934	9021156043	6147828764
diverse	nj-attotree	23	1000	uniqrow	41706781	46278771	41722712
diverse	nj-attotree	23	1000	unitig	246163685	324820319	246276746
diverse	nj-attotree	24	1000	kmer	6167262319	9069671163	6172691348
diverse	nj-attotree	24	1000	uniqrow	28985060	32239872	28995938
diverse	nj-attotree	24	1000	unitig	190289883	252349725	190375906
diverse	nj-attotree	25	1000	kmer	6189289381	9110814000	6194720410
diverse	nj-attotree	25	1000	uniqrow	27080843	30102191	27090576
diverse	nj-attotree	25	1000	unitig	168844129	222443822	168915806
diverse	nj-attotree	26	1000	kmer	6210548751	9149589135	6215981674
diverse	nj-attotree	26	1000	uniqrow	24982203	27775773	24991134
diverse	nj-attotree	26	1000	unitig	157163826	206935331	157229438
diverse	nj-attotree	27	1000	kmer	6231143837	9186715541	6236578572
