dataset	method	k	N	type	n_bit_changes	n_runs	n_cylinder_runs
diverse	nj-attotree	13	1000	kmer	3220673816	3254225837	3224219636
diverse	nj-attotree	13	1000	uniqrow	3220647189	3254188262	3224192986
diverse	nj-attotree	13	1000	unitig	3220673812	3254225831	3224219632
diverse	nj-attotree	15	1000	kmer	5218146637	5681826096	5223270014
diverse	nj-attotree	15	1000	uniqrow	4584183706	4857983625	4588596274
diverse	nj-attotree	15	1000	unitig	5210025082	5670248721	5215139866
diverse	nj-attotree	17	1000	kmer	5842199529	7653866973	5847580494
diverse	nj-attotree	17	1000	uniqrow	1556505774	1701958086	1557496654
diverse	nj-attotree	17	1000	unitig	4577596003	5812060981	4581618354
diverse	nj-attotree	19	1000	kmer	6012049428	8594577293	6017463004
diverse	nj-attotree	19	1000	uniqrow	285358383	316763928	285466912
diverse	nj-attotree	19	1000	unitig	1725940325	2305220875	1727067522
diverse	nj-attotree	21	1000	kmer	6088326662	8894929453	6093748508
diverse	nj-attotree	21	1000	uniqrow	67452982	75216930	67477684
diverse	nj-attotree	21	1000	unitig	516107247	695524125	516358434
diverse	nj-attotree	23	1000	kmer	6142401934	9021156043	6147828764
diverse	nj-attotree	23	1000	uniqrow	41706742	46278724	41722672
diverse	nj-attotree	23	1000	unitig	246163677	324820320	246276736
diverse	nj-attotree	25	1000	kmer	6189289381	9110814000	6194720410
diverse	nj-attotree	25	1000	uniqrow	27080781	30102105	27090514
diverse	nj-attotree	25	1000	unitig	168842987	222442117	168914664
diverse	nj-attotree	27	1000	kmer	6231143837	9186715541	6236578572
diverse	nj-attotree	27	1000	uniqrow	18439886	20561231	18446538
diverse	nj-attotree	27	1000	unitig	136417099	181351991	136472178
diverse	nj-attotree	29	1000	kmer	6267885963	9251769235	6273323968
diverse	nj-attotree	29	1000	uniqrow	16624962	18540145	16630760
diverse	nj-attotree	29	1000	unitig	122329877	162105290	122375070
diverse	nj-attotree	31	1000	kmer	6301661201	9310728944	6307102172
diverse	nj-attotree	31	1000	uniqrow	12310428	13761634	12314794
diverse	nj-attotree	31	1000	unitig	103358856	137718981	103393902
diverse	nj-hamming	13	1000	kmer	3136281281	3169833302	3139833590
diverse	nj-hamming	13	1000	uniqrow	3136198259	3169739332	3140122690
diverse	nj-hamming	13	1000	unitig	3136281277	3169833296	3139833586
diverse	nj-hamming	15	1000	kmer	5150043704	5613723163	5153643390
diverse	nj-hamming	15	1000	uniqrow	4519036017	4792835936	4522095004
diverse	nj-hamming	15	1000	unitig	5141969549	5602193188	5145556932
diverse	nj-hamming	17	1000	kmer	5782056733	7593724177	5784721140
diverse	nj-hamming	17	1000	uniqrow	1526929985	1672382297	1527491978
diverse	nj-hamming	17	1000	unitig	4524959450	5759424428	4527743776
diverse	nj-hamming	19	1000	kmer	5955097271	8537625136	5959070212
diverse	nj-hamming	19	1000	uniqrow	277559168	308964713	277648636
diverse	nj-hamming	19	1000	unitig	1699406606	2278687156	1700394490
diverse	nj-hamming	21	1000	kmer	6029029893	8835632684	6038028818
diverse	nj-hamming	21	1000	uniqrow	64957173	72721121	64965900
diverse	nj-hamming	21	1000	unitig	504457614	683874492	504634136
diverse	nj-hamming	23	1000	kmer	6090135408	8968889517	6094452826
diverse	nj-hamming	23	1000	uniqrow	40000595	44572577	40004824
diverse	nj-hamming	23	1000	unitig	238284533	316941176	238383360
diverse	nj-hamming	25	1000	kmer	6136241144	9057765763	6143042160
diverse	nj-hamming	25	1000	uniqrow	25938373	28959697	25944236
diverse	nj-hamming	25	1000	unitig	162896432	216495562	162915824
diverse	nj-hamming	27	1000	kmer	6181204573	9136776277	6186775052
diverse	nj-hamming	27	1000	uniqrow	17661232	19782577	17662924
diverse	nj-hamming	27	1000	unitig	131590763	176525655	131606164
diverse	nj-hamming	29	1000	kmer	6213175625	9197058897	6225605392
diverse	nj-hamming	29	1000	uniqrow	15925585	17840768	15927776
diverse	nj-hamming	29	1000	unitig	117868225	157643638	117871312
diverse	nj-hamming	31	1000	kmer	6256867026	9265934769	6260348500
diverse	nj-hamming	31	1000	uniqrow	11798166	13249372	11798880
diverse	nj-hamming	31	1000	unitig	99602353	133962478	99611562
diverse	optimal	13	1000	kmer	3095812897	3129364918	3105379890
diverse	optimal	13	1000	uniqrow	3095786857	3129327930	3105353776
diverse	optimal	13	1000	unitig	3095813579	3129365598	3105380572
diverse	optimal	15	1000	kmer	5102154698	5565834157	5120212500
diverse	optimal	15	1000	uniqrow	4475061076	4748860995	4490717228
diverse	optimal	15	1000	unitig	5094129356	5554352995	5112161950
diverse	optimal	17	1000	kmer	5736227519	7547894963	5758357188
diverse	optimal	17	1000	uniqrow	1508082640	1653534952	1516780796
diverse	optimal	17	1000	unitig	4486772181	5721237159	4505570386
diverse	optimal	19	1000	kmer	5912068202	8494596067	5935471840
diverse	optimal	19	1000	uniqrow	272993032	304398577	275093914
diverse	optimal	19	1000	unitig	1682150148	2261430698	1692719654
diverse	optimal	21	1000	kmer	5992400369	8799003160	6016032968
diverse	optimal	21	1000	uniqrow	63556599	71320547	64070144
diverse	optimal	21	1000	unitig	497851807	677268685	501398634
diverse	optimal	23	1000	kmer	6049544350	8928298459	6073231034
diverse	optimal	23	1000	uniqrow	38994494	43566476	39306110
diverse	optimal	23	1000	unitig	234077354	312733997	236010436
diverse	optimal	25	1000	kmer	6099072282	9020596901	6122784278
diverse	optimal	25	1000	uniqrow	25250248	28271572	25484912
diverse	optimal	25	1000	unitig	159587679	213186809	161050506
diverse	optimal	27	1000	kmer	6143202309	9098774013	6166930832
diverse	optimal	27	1000	uniqrow	17155367	19276712	17304334
diverse	optimal	27	1000	unitig	128827200	173762092	130093700
diverse	optimal	29	1000	kmer	6181849792	9165733064	6205590026
diverse	optimal	29	1000	uniqrow	15447661	17362844	15591748
diverse	optimal	29	1000	unitig	115236702	155012115	116448962
diverse	optimal	31	1000	kmer	6217330083	9226397826	6241079370
diverse	optimal	31	1000	uniqrow	11411760	12862966	11532444
diverse	optimal	31	1000	unitig	97288007	131648132	98379310
diverse	randomized	13	1000	kmer	5140499668	5174051689	5148490350
diverse	randomized	13	1000	uniqrow	5140466112	5174007185	5148456732
diverse	randomized	13	1000	unitig	5140499664	5174051683	5148490346
diverse	randomized	15	1000	kmer	7572257417	8035936876	7584392878
diverse	randomized	15	1000	uniqrow	6746250722	7020050641	6756935572
diverse	randomized	15	1000	unitig	7561451850	8021675489	7573569598
diverse	randomized	17	1000	kmer	8131525162	9943192606	8144653034
diverse	randomized	17	1000	uniqrow	2356482126	2501934438	2360394974
diverse	randomized	17	1000	unitig	6439266192	7673731170	6449806698
diverse	randomized	19	1000	kmer	8227339551	10809867416	8240630540
diverse	randomized	19	1000	uniqrow	468642026	500047571	469380508
diverse	randomized	19	1000	unitig	2481187385	3060467935	2485439182
diverse	randomized	21	1000	kmer	8248056827	11054659618	8261377014
diverse	randomized	21	1000	uniqrow	127464522	135228470	127613080
diverse	randomized	21	1000	unitig	805424832	984841710	806622586
diverse	randomized	23	1000	kmer	8256817761	11135571870	8270147490
diverse	randomized	23	1000	uniqrow	85423360	89995342	85502770
diverse	randomized	23	1000	unitig	434166235	512822878	434592758
diverse	randomized	25	1000	kmer	8262957086	11184481705	8276292546
diverse	randomized	25	1000	uniqrow	56969246	59990570	57017978
diverse	randomized	25	1000	unitig	310515929	364115059	310749580
diverse	randomized	27	1000	kmer	8267870405	11223442109	8281210130
diverse	randomized	27	1000	uniqrow	39505979	41627324	39538048
diverse	randomized	27	1000	unitig	251306540	296241432	251475154
diverse	randomized	29	1000	kmer	8271915715	11255798987	8285258742
diverse	randomized	29	1000	uniqrow	36109122	38024305	36136150
diverse	randomized	29	1000	unitig	228610491	268385904	228749216
diverse	randomized	31	1000	kmer	8275400058	11284467801	8288745834
diverse	randomized	31	1000	uniqrow	27226323	28677529	27245042
diverse	randomized	31	1000	unitig	193190514	227550639	193297510
diverse	upgma-attotree	13	1000	kmer	3167253739	3200805760	3174524048
diverse	upgma-attotree	13	1000	uniqrow	3167227351	3200768424	3174497500
diverse	upgma-attotree	13	1000	unitig	3167253735	3200805754	3174524044
diverse	upgma-attotree	15	1000	kmer	5150609756	5614289215	5160992484
diverse	upgma-attotree	15	1000	uniqrow	4521214848	4795014767	4529497432
diverse	upgma-attotree	15	1000	unitig	5142554878	5602778517	5152908816
diverse	upgma-attotree	17	1000	kmer	5775576984	7587244428	5786330110
diverse	upgma-attotree	17	1000	uniqrow	1527866834	1673319146	1529065496
diverse	upgma-attotree	17	1000	unitig	4521352737	5755817715	4528661994
diverse	upgma-attotree	19	1000	kmer	5949177710	8531705575	5959975536
diverse	upgma-attotree	19	1000	uniqrow	277793493	309199038	277883682
diverse	upgma-attotree	19	1000	unitig	1699970822	2279251372	1701464260
diverse	upgma-attotree	21	1000	kmer	6028486914	8835089705	6039299332
diverse	upgma-attotree	21	1000	uniqrow	65031972	72795920	65050864
diverse	upgma-attotree	21	1000	unitig	504846741	684263619	505104446
diverse	upgma-attotree	23	1000	kmer	6084866856	8963620965	6095688874
diverse	upgma-attotree	23	1000	uniqrow	40048559	44620541	40060242
diverse	upgma-attotree	23	1000	unitig	238447436	317104079	238561110
diverse	upgma-attotree	25	1000	kmer	6133728692	9055253311	6144558408
diverse	upgma-attotree	25	1000	uniqrow	25985674	29006998	25992328
diverse	upgma-attotree	25	1000	unitig	162945671	216544801	163028514
diverse	upgma-attotree	27	1000	kmer	6177288736	9132860440	6188124774
diverse	upgma-attotree	27	1000	uniqrow	17688942	19810287	17693344
diverse	upgma-attotree	27	1000	unitig	131621293	176556185	131693192
diverse	upgma-attotree	29	1000	kmer	6215465536	9199348808	6226306840
diverse	upgma-attotree	29	1000	uniqrow	15948245	17863428	15951968
diverse	upgma-attotree	29	1000	unitig	117875740	157651153	117941056
