dataset	method	k	N	type	n_bit_changes	n_runs	n_cylinder_runs
diverse	nj-attotree	31	1000	kmer	6301661201	9310728944	6307102172
diverse	nj-attotree	31	1000	uniqrow	12310428	13761634	12314794
diverse	nj-attotree	31	1000	unitig	103358896	137719041	103393942
diverse	nj-attotree	31	100	kmer	765672653	3774740396	775584754
diverse	nj-attotree	31	100	uniqrow	1999261	3450467	2001380
diverse	nj-attotree	31	100	unitig	16275255	50635400	16283100
diverse	nj-attotree	31	10	kmer	74356743	3083424486	83916452
diverse	nj-attotree	31	10	uniqrow	225435	1676641	245898
diverse	nj-attotree	31	10	unitig	1473688	35833833	1651974
diverse	nj-attotree	31	158	kmer	1200421214	4209488957	1206493986
diverse	nj-attotree	31	158	uniqrow	2932488	4383694	2934094
diverse	nj-attotree	31	158	unitig	22819136	57179281	22833386
diverse	nj-attotree	31	16	kmer	136767956	3145835699	147523428
diverse	nj-attotree	31	16	uniqrow	413408	1864614	438348
diverse	nj-attotree	31	16	unitig	2912935	37273080	3118404
diverse	nj-attotree	31	1	kmer	0	3009067743	0
diverse	nj-attotree	31	1	uniqrow	0	1451206	0
diverse	nj-attotree	31	1	unitig	0	34360145	0
diverse	nj-attotree	31	251	kmer	1881765610	4890833353	1887468438
diverse	nj-attotree	31	251	uniqrow	4479239	5930445	4482216
diverse	nj-attotree	31	251	unitig	36895217	71255362	36904652
diverse	nj-attotree	31	25	kmer	212879066	3221946809	227007430
diverse	nj-attotree	31	25	uniqrow	592796	2044002	642178
diverse	nj-attotree	31	25	unitig	4561177	38921322	5079844
diverse	nj-attotree	31	2	kmer	6545478	3015613221	13090956
diverse	nj-attotree	31	2	uniqrow	64094	1515300	128188
diverse	nj-attotree	31	2	unitig	379326	34739471	758652
diverse	nj-attotree	31	398	kmer	2817646908	5826714651	2823794312
diverse	nj-attotree	31	398	uniqrow	6131320	7582526	6132442
diverse	nj-attotree	31	398	unitig	51216753	85576898	51255210
diverse	nj-attotree	31	3	kmer	15313609	3024381352	21029518
diverse	nj-attotree	31	3	uniqrow	128414	1579620	129988
diverse	nj-attotree	31	3	unitig	764608	35124753	816542
diverse	nj-attotree	31	40	kmer	333929343	3342997086	340118300
diverse	nj-attotree	31	40	uniqrow	963316	2414522	1021590
diverse	nj-attotree	31	40	unitig	7377358	41737503	7578720
diverse	nj-attotree	31	4	kmer	24041245	3033108988	29757154
diverse	nj-attotree	31	4	uniqrow	130100	1581306	131674
diverse	nj-attotree	31	4	unitig	778958	35139103	830892
diverse	nj-attotree	31	631	kmer	4229318404	7238386147	4234958006
diverse	nj-attotree	31	631	uniqrow	8505671	9956877	8506900
diverse	nj-attotree	31	631	unitig	72817120	107177265	72830090
diverse	nj-attotree	31	63	kmer	501698613	3510766356	507957502
diverse	nj-attotree	31	63	uniqrow	1352610	2803816	1376188
diverse	nj-attotree	31	63	unitig	10459970	44820115	10589584
diverse	nj-attotree	31	6	kmer	37566925	3046634668	45898886
diverse	nj-attotree	31	6	uniqrow	136680	1587886	138066
