dataset	method	k	N	type	n_bit_changes	n_runs	n_cylinder_runs
ngono-spneumo	nj-attotree	11	1000	kmer	19700878	21500227	19701506
ngono-spneumo	nj-attotree	11	1000	uniqrow	13805219	14389752	13805710
ngono-spneumo	nj-attotree	11	1000	unitig	19570388	21355924	19571010
ngono-spneumo	nj-attotree	13	1000	kmer	67777305	74666973	67779378
ngono-spneumo	nj-attotree	13	1000	uniqrow	18036802	18842124	18037498
ngono-spneumo	nj-attotree	13	1000	unitig	48223849	52907407	48225288
ngono-spneumo	nj-attotree	15	1000	kmer	85483150	94799544	85486048
ngono-spneumo	nj-attotree	15	1000	uniqrow	8483434	8868359	8483888
ngono-spneumo	nj-attotree	15	1000	unitig	19935316	21786591	19936120
ngono-spneumo	nj-attotree	17	1000	kmer	92037092	102081454	92040400
ngono-spneumo	nj-attotree	17	1000	uniqrow	7079169	7392159	7079598
ngono-spneumo	nj-attotree	17	1000	unitig	10435808	11234380	10436368
ngono-spneumo	nj-attotree	19	1000	kmer	97093460	107615665	97097114
ngono-spneumo	nj-attotree	19	1000	uniqrow	7088322	7398722	7088760
ngono-spneumo	nj-attotree	19	1000	unitig	9299729	9955247	9300264
ngono-spneumo	nj-attotree	21	1000	kmer	101850153	112814395	101854160
ngono-spneumo	nj-attotree	21	1000	uniqrow	7150854	7462711	7151314
ngono-spneumo	nj-attotree	21	1000	unitig	9130211	9756818	9130774
ngono-spneumo	nj-attotree	23	1000	kmer	106408149	117801995	106412500
ngono-spneumo	nj-attotree	23	1000	uniqrow	7414127	7735923	7414604
ngono-spneumo	nj-attotree	23	1000	unitig	9285623	9907819	9286198
ngono-spneumo	nj-attotree	25	1000	kmer	110843184	122661678	110847880
ngono-spneumo	nj-attotree	25	1000	uniqrow	7563416	7890704	7563912
ngono-spneumo	nj-attotree	25	1000	unitig	9339410	9954832	9340008
ngono-spneumo	nj-attotree	27	1000	kmer	115170485	127410321	115175530
ngono-spneumo	nj-attotree	27	1000	uniqrow	7616534	7945214	7617042
