experiment	run	real_s	real_s_py	user_s	sys_s	percent_cpu	max_ram_kb	fs_inputs	fs_outputs	exit_code	command	max_ram_kb_alt
fulgor_dump_gisp_k31	None	2.93	2.945596	2.55	0.24	None	15942	None	None	0	fulgor dump -i 04_indices/gisp_k31.fur	1327
build_dists_gisp_k31	None	222.17	222.180673	864.96	173.76	None	2755920	None	None	0	./_build_dists_parallel.py 05_dumps gisp 31 07_ham_dists 10	1295
tsp_export_gisp_k31_N1102_kmer	None	16.44	16.452717	15.77	0.29	None	270631	None	None	0	./_export_tsp_instance.py 07_ham_dists/gisp_k31_kmer.dists.txt.xz 03_selection/gisp.N1102.txt -o 08_tsp/gisp_optimal_k31_N1102_kmer/instance.tsp -w 08_tsp/gisp_worst_k31_N1102_kmer/instance.tsp	1344
tsp_export_gisp_k31_N1102_uniqrow	None	16.22	16.234817	15.65	0.30	None	281248	None	None	0	./_export_tsp_instance.py 07_ham_dists/gisp_k31_uniqrow.dists.txt.xz 03_selection/gisp.N1102.txt -o 08_tsp/gisp_optimal_k31_N1102_uniqrow/instance.tsp -w 08_tsp/gisp_worst_k31_N1102_uniqrow/instance.tsp	1295
tsp_export_gisp_k31_N1102_unitig	None	16.21	16.220729	15.54	0.30	None	274629	None	None	0	./_export_tsp_instance.py 07_ham_dists/gisp_k31_unitig.dists.txt.xz 03_selection/gisp.N1102.txt -o 08_tsp/gisp_optimal_k31_N1102_unitig/instance.tsp -w 08_tsp/gisp_worst_k31_N1102_unitig/instance.tsp	1327
concorde_optimal_N1102_kmer	None	12.13	12.141082	11.51	0.49	None	46858	None	None	0	'/Users/karel/git/ism-supplement/bin/concorde' -o instance.sol instance.tsp 2>&1 | tee log.txt	1295
concorde_optimal_N1102_uniqrow	None	7.62	7.628874	7.21	0.29	None	35553	None	None	0	'/Users/karel/git/ism-supplement/bin/concorde' -o instance.sol instance.tsp 2>&1 | tee log.txt	1295
concorde_optimal_N1102_unitig	None	33.41	33.420448	32.05	1.13	None	46252	None	None	0	'/Users/karel/git/ism-supplement/bin/concorde' -o instance.sol instance.tsp 2>&1 | tee log.txt	1295
concorde_worst_N1102_kmer	None	154.64	154.654067	153.84	0.30	None	42353	None	None	0	'/Users/karel/git/ism-supplement/bin/concorde' -o instance.sol instance.tsp 2>&1 | tee log.txt	1295
concorde_worst_N1102_uniqrow	None	151.66	151.671564	150.90	0.26	None	36880	None	None	0	'/Users/karel/git/ism-supplement/bin/concorde' -o instance.sol instance.tsp 2>&1 | tee log.txt	1295
concorde_worst_N1102_unitig	None	152.32	152.330759	151.58	0.25	None	38928	None	None	0	'/Users/karel/git/ism-supplement/bin/concorde' -o instance.sol instance.tsp 2>&1 | tee log.txt	1295
tree_order_gisp_nj_k31_N1102_kmer	None	0.03	0.045857	0.02	0.00	None	12485	None	None	0	./_tree_leaf_order.py 09_trees/gisp_nj_N1102.nw > 10_orders/gisp_nj_k31_N1102_kmer.txt	1278
tree_order_gisp_nj_k31_N1102_uniqrow	None	0.34	0.350097	0.01	0.01	None	12386	None	None	0	./_tree_leaf_order.py 09_trees/gisp_nj_N1102.nw > 10_orders/gisp_nj_k31_N1102_uniqrow.txt	1295
tree_order_gisp_nj_k31_N1102_unitig	None	0.37	0.381493	0.02	0.00	None	12698	None	None	0	./_tree_leaf_order.py 09_trees/gisp_nj_N1102.nw > 10_orders/gisp_nj_k31_N1102_unitig.txt	1295
tsp_order_gisp_optimal_k31_N1102_kmer	None	0.07	0.077484	0.05	0.01	None	20300	None	None	0	./_extract_path_from_tsp_solution.py 08_tsp/gisp_optimal_k31_N1102_kmer/instance.tsp 08_tsp/gisp_optimal_k31_N1102_kmer/instance.sol > 10_orders/gisp_optimal_k31_N1102_kmer.txt	1311
tsp_order_gisp_optimal_k31_N1102_uniqrow	None	0.08	0.093685	0.05	0.01	None	20267	None	None	0	./_extract_path_from_tsp_solution.py 08_tsp/gisp_optimal_k31_N1102_uniqrow/instance.tsp 08_tsp/gisp_optimal_k31_N1102_uniqrow/instance.sol > 10_orders/gisp_optimal_k31_N1102_uniqrow.txt	1311
tsp_order_gisp_optimal_k31_N1102_unitig	None	0.08	0.086664	0.05	0.01	None	20103	None	None	0	./_extract_path_from_tsp_solution.py 08_tsp/gisp_optimal_k31_N1102_unitig/instance.tsp 08_tsp/gisp_optimal_k31_N1102_unitig/instance.sol > 10_orders/gisp_optimal_k31_N1102_unitig.txt	1311
tree_order_gisp_upgma_k31_N1102_kmer	None	0.04	0.051826	0.02	0.01	None	13042	None	None	0	./_tree_leaf_order.py 09_trees/gisp_upgma_N1102.nw > 10_orders/gisp_upgma_k31_N1102_kmer.txt	1327
tree_order_gisp_upgma_k31_N1102_uniqrow	None	0.04	0.053979	0.02	0.01	None	13599	None	None	0	./_tree_leaf_order.py 09_trees/gisp_upgma_N1102.nw > 10_orders/gisp_upgma_k31_N1102_uniqrow.txt	1295
tree_order_gisp_upgma_k31_N1102_unitig	None	0.04	0.052928	0.02	0.01	None	12911	None	None	0	./_tree_leaf_order.py 09_trees/gisp_upgma_N1102.nw > 10_orders/gisp_upgma_k31_N1102_unitig.txt	1311
